,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1089325,1089325,sucursales,1,-34.754677,-58.613909,70 - RAFAEL CASTILLO,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Calderon De La Barca 4948,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089326,1089326,sucursales,1,-34.7073192,-58.5165375,71 - ALDO BONZI,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Jose Alico 969,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089327,1089327,sucursales,1,-34.8097369,-58.1872598,73 - BERAZATEGUI,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Heroes De Malvina 2839,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089328,1089328,sucursales,1,-34.8068123,-58.301815,74 - FLORENCIO VARELA,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl El Aljibe 700,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089329,1089329,sucursales,1,-34.6653764,-58.4427103,75 - VILLA SOLDATI,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Mariano Acosta 3552,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089330,1089330,sucursales,1,-34.8119282,-58.6347284,76 - VIRREY DEL PINO,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Rio De La Plata 7431,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089331,1089331,sucursales,1,-34.5744356,-58.5744848,77 - SAN MARTIN,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Primera Junta 5800,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089332,1089332,sucursales,1,-34.8338743,-58.4949847,78 - EL JAGUEL PDO ESTEB ECHE,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Evita 354,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089333,1089333,sucursales,1,-34.7520628,-58.2343069,79 - EZPELETA,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl San Martin 5355,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089334,1089334,sucursales,1,-34.6355238,-58.4889911,8 - VÉLEZ SÁRSFIELD,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Av Rivadavia 8875,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
