,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1077115,1077115,sucursales,1,-34.421868,-58.741774,145 - GARIN,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Fructuoso Diaz E. Mistral 3700,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077116,1077116,sucursales,1,-34.4523413,-58.5395479,146 - SAN FERNANDO,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Pte Peron 3084,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077117,1077117,sucursales,1,-34.586783,-58.576382,147 - VILLA BOSCH,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Santos Vega 5848,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077118,1077118,sucursales,1,-34.6131258,-58.5624903,148 - CASEROS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Libertador S. Martin 3360,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077119,1077119,sucursales,1,-34.4103806,-58.6863928,149 - BENAVIDEZ,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Alvear 2939,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077120,1077120,sucursales,1,-34.7073388,-58.4000642,150 - LANUS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl 25 De Mayo 571,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077121,1077121,sucursales,1,-34.6709522,-58.3904001,1505 - AVELLANEDA,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Galicia 759,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077122,1077122,sucursales,1,-35.441361,-58.805485,1507 - MONTE,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Yrigoyen Esq. Italia ,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077123,1077123,sucursales,1,-34.59312,-58.571361,151 - VILLA BOSCH,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Jose Maria Bosch 1336,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077124,1077124,sucursales,1,-34.6887773,-58.3806075,152 - LANUS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Bustamante 678,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077125,1077125,sucursales,1,-34.6554344,-58.4141552,1520 - NUEVA POMPEYA,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Amancio Alcorta 3889,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077126,1077126,sucursales,1,-34.6810082,-58.4679551,1521 - VILLA LURO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Avfernandez De La Cruz 5583,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077127,1077127,sucursales,1,-34.5881385,-58.4856644,1524 - PARQUE CHAS,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av De Los Constituyentes 3836,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
