,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1078743,1078743,sucursales,3,-31.412485,-64.185278,General Paz 240,7790387015324,Autoservicio,AR-X,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,417.0,,,True,Gral. Paz 240,Express,Córdoba,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078744,1078744,sucursales,3,-34.622723,-58.4964,Segurola 1441,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Segurola 1441,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078745,1078745,sucursales,3,-31.415769,-64.169505,25 de Mayo 979,7790387015324,Autoservicio,AR-X,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,417.0,,,True,25 De Mayo 979,Express,Córdoba,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078746,1078746,sucursales,3,-34.60151,-58.437085,Luis M Drago 285,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Luis María Drago 285,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078747,1078747,sucursales,3,-31.415363,-64.18853,Belgrano 54,7790387015324,Autoservicio,AR-X,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,417.0,,,True,Belgrano 54,Express,Córdoba,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078748,1078748,sucursales,3,-34.651978,-58.515854,Emilio Castro 6817,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Emilio Castro 6817,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078749,1078749,sucursales,3,-31.42053,-64.499099,San Martín 26,7790387015324,Autoservicio,AR-X,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,417.0,,,True,San Martín 26,Express,Córdoba,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078750,1078750,sucursales,3,-34.58354,-58.403812,Las Heras 2986,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Gral. Las Heras 2986,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078751,1078751,sucursales,3,-34.610358,-58.391532,Hipolito Irigoyen 1790,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Hipólito Yrigoyen 1790,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078752,1078752,sucursales,3,-34.599509,-58.369906,Viamonte 170,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Viamonte 170,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
